Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)
FHL1	X	136146702	136211359
IFNB1	9	21077105	21077963
GMCL1	2	69829642	69881396
CDCP1	3	45082278	45146422
KDM6A	X	44873177	45112602
TMEM8C	9	133514586	133528612
FRMD5	15	43870761	44195252
PSORS1C2	CHR_HSCHR6_MHC_MCF_CTG1	31216078	31217894
HMOX2	16	4474690	4510347
LSM14A	CHR_HSCHR19_1_CTG3_1	34172447	34229322
GPR1	2	206175316	206218047
CBLC	19	44777869	44800634
APOF	12	56360569	56362823
PCMTD2	CHR_HSCHR20_1_CTG3	64259386	64278487
MBOAT2	2	8852690	9003813
WBSCR17	7	71132169	71713600
EPHA7	6	93240020	93419547
VARS	CHR_HSCHR6_MHC_COX_CTG1	31764879	31783312
KISS1	1	204190341	204196486
METTL6	3	15381275	15440566
B3GNT6	11	77034398	77041973
B3GALT4	CHR_HSCHR6_MHC_QBL_CTG1	33205959	33207652
MAPK4	CHR_HSCHR18_1_CTG1_1	50567310	50567991
NDUFS5	1	39026318	39034636
PRAMEF7	1	12916610	12920482
IFT81	12	110124335	110218797
DNAH10	CHR_HSCHR12_6_CTG2_1	123826687	123935766
SETD5	3	9397615	9479240
HIBCH	2	190189735	190344193
IRGM	5	150846523	150900736
HERC5	4	88457117	88506163
INSL5	1	66797741	66801256
PMPCB	7	103297422	103329511
TARS	5	33440696	33469539
PET117	20	18137873	18143169
SPN	16	29662979	29670876
RPP21	CHR_HSCHR6_MHC_COX_CTG1	30334931	30336684
ZNF77	19	2933218	2944971
STK4	20	44966474	45079959
OR2T8	1	247921018	247921956
LDLRAP1	1	25543580	25568886
C1orf109	1	37681570	37692249
HRSP12	8	98102344	98117241
ZNF804A	2	184598366	184939492
ASCL2	11	2268495	2270952
LAMC2	1	183186238	183244900
AADAT	4	170060222	170091699
RCE1	11	66842835	66846546
SRD5A3	4	55346109	55373096
KAZALD1	10	101061841	101068131
LANCL1	2	210431249	210477652
ZNF727	7	64045443	64078549
CATSPER2	15	43628503	43668118
KIF17	1	20664014	20718017
KCNT2	1	196225779	196609225
DCUN1D3	16	20854925	20900384
TCF20	22	42160013	42343616
PNMA1	14	73711783	73714372
DDX10	11	108665025	108940930
CCT8L2	22	16590751	16592810
WDR27	6	169457212	169702048
GDF11	12	55743280	55757278
ARHGEF3	3	56727418	57079329
TMEM2	9	71683366	71816690
DFNB59	2	178451436	178461390
PARD6G	18	80157232	80247546
PLA2G2D	1	20111939	20119566
JMJD1C	10	63167221	63521850
HIST1H2AH	6	27147129	27147515
GCH1	14	54842008	54902852
DPCR1	6	30940972	30954221
CHFR	12	132822187	132956304
CYBA	16	88643283	88651152
SFRP4	7	37905932	38025695
CCDC171	9	15552897	16061663
OR2H2	CHR_HSCHR6_MHC_MANN_CTG1	29587046	29588629
PLBD2	12	113358566	113391625
SKIV2L	CHR_HSCHR6_MHC_SSTO_CTG1	31951734	31962405
PBLD	10	68282660	68333049
DLGAP2	CHR_HSCHR8_1_CTG1	1487682	1552210
PHKG2	16	30748270	30761176
APOL3	22	36140330	36166177
PANK4	CHR_HSCHR1_1_CTG3	2508533	2526600
PAPPA2	1	176463171	176845605
AXL	19	41219203	41261766
BCAN	1	156641390	156659532
OR52M1	11	4545191	4546144
IL1F10	2	113067970	113075850
OR5V1	CHR_HSCHR6_MHC_QBL_CTG1	29422486	29431843
SPINK2	4	56809860	56821742
SLC15A3	11	60937083	60952530
BIRC7	20	63235883	63240507
CALCR	7	93424487	93574730
FNDC3A	13	48975912	49209779
DRG1	22	31399523	31528740
C12orf49	12	116710185	116738070
SGCZ	8	14089864	15238339
CDC42SE2	5	131245493	131398447
LARP4B	10	806914	931705
FLII	17	18244836	18258916
OR11A1	CHR_HSCHR6_MHC_QBL_CTG1	29425381	29456943
CNPY3	6	42929192	42939287
DAPK3	19	3958453	3971123
ZNF37A	10	38094336	38125544
DMPK	19	45769717	45782552
CDSN	CHR_HSCHR6_MHC_MCF_CTG1	31193614	31198966
ZNF572	8	124973298	124979389
DNAH7	2	195737703	196068812
MRPL34	19	17292609	17306843
ABCF2	7	151207837	151227230
EPB41L4A	5	112142441	112419316
SAA2	11	18239223	18248643
CD163L1	12	7346685	7479897
RCAN1	21	34513142	34615142
C2orf61	2	47045538	47155378
TRIM11	1	228393673	228406840
ZNF22	10	45000475	45005326
GATSL3	22	30285117	30289627
ZADH2	18	75195108	75209348
GLS	2	190880827	190965552
GLB1L	2	219236606	219245478
ZNF416	19	57571566	57578927
C4orf36	4	86876205	86936202
CDH7	18	65750252	65890341
EXOSC6	16	70246778	70251930
RBM22	5	150690794	150701107
CREB3L2	7	137874979	138002067
PSMD1	2	231056864	231172827
EGFL8	CHR_HSCHR6_MHC_MANN_CTG1	32203996	32207669
EGFL8	CHR_HSCHR6_MHC_MANN_CTG1	32203996	32207669
RNF219	13	78614291	78659179
COX18	4	73052362	73069755
NRG3	10	81875314	82987179
SLC35E1	19	16549831	16572382
FXYD7	19	35143250	35154301
ACSM1	16	20623237	20698890
ZNF19	16	71464555	71565089
TP53I3	2	24077433	24085861
ZNF33A	10	38010650	38065088
MRPS10	6	42206801	42217865
PIWIL1	CHR_HSCHR12_5_CTG2_1	130337887	130372618
KIFC1	CHR_HSCHR6_MHC_QBL_CTG1	33320351	33338717
PITPNM3	17	6451264	6556494
MAL	2	95025677	95053996
KRT14	17	41582279	41586921
SND1	7	127652180	128092609
OR51L1	11	4998983	4999930
TTC36	11	118527472	118531197
C14orf28	14	44897295	44907257
HNRNPA1L2	13	52640786	52643796
TSTD1	1	161037631	161038990
SCRN3	2	174395730	174429575
ADAM22	7	87934143	88202889
SOST	17	43753731	43758788
PSMC5	17	63827152	63832026
DISP2	15	40358235	40378639
MRPL20	1	1401908	1407313
ATP6V1B1	2	70935882	70965406
FCGBP	19	39863323	39934626
TMEM14B	6	10747759	10852753
CST11	20	23450403	23452857
HMGA2	12	65824131	65966295
HOXB1	17	48528526	48530997
QPRT	16	29679008	29698699
TRIM40	CHR_HSCHR6_MHC_COX_CTG1	30126032	30138662
H2AFY2	10	70052796	70112280
APBB1IP	10	26438203	26567803
SPTBN2	11	66685248	66729226
ZCCHC24	10	79382325	79445627
VIPR1	3	42489299	42537573
RBMS2	12	56521929	56596196
FZD9	7	73433783	73436120
CYP21A2	CHR_HSCHR6_MHC_COX_CTG1	31986739	31990111
LMOD2	7	123655807	123664290
LTA	CHR_HSCHR6_MHC_SSTO_CTG1	31562799	31565069
C12orf74	12	92702843	92708549
CREB3	9	35732320	35737007
DLAT	11	112024814	112064390
CDC42EP3	2	37641882	37738468
ALKBH8	11	107502726	107565746
TNFRSF4	1	1211326	1214138
ZBTB12	CHR_HSCHR6_MHC_COX_CTG1	31887151	31889536
NBPF3	1	21440128	21485005
MCTP2	15	94231538	94483952
IMPG1	6	75921115	76072678
RHOBTB2	8	22987417	23020199
PRSS42	3	46829542	46834095
ART3	4	76011184	76112802
PDE4C	19	18207961	18255419
CYP8B1	3	42856005	42876165
OST4	2	27070472	27071773
MRVI1	11	10573091	10693988
CELF2	10	11005321	11336675
TST	22	37010859	37020183
APOL1	22	36253010	36267530
WRNIP1	6	2765414	2786952
KIR3DL3	CHR_HSCHR19LRC_PGF2_CTG3_1	54476171	54520538
SLC35F3	1	233904933	234324516
MAPK8	10	48306639	48439360
PGLYRP4	1	153330120	153348840
DDX19A	16	70346829	70373383
EIF2AK2	2	37099210	37157065
LITAF	16	11547722	11636381
EML3	11	62602218	62612765
TP53AIP1	11	128934731	128943399
USP9X	X	41085635	41236579
FNDC8	17	35121579	35130732
TMEM119	12	108589846	108598320
MLXIPL	7	73593194	73624543
EYA1	8	71197433	71362232
ATL3	11	63624087	63671921
CXorf65	X	71103889	71106788
PPME1	11	74171099	74254703
ZNF429	19	21496682	21556270
CHRNB2	1	154567781	154580026
NPHP1	2	110122311	110205066
KLRF2	12	9881489	9895833
CA6	1	8945867	8975092
RPL9	4	39454124	39458948
ECH1	19	38815422	38832005
LTB	CHR_HSCHR6_MHC_MANN_CTG1	31620003	31621970
PDE5A	4	119494395	119628991
OR4C3	11	48324920	48328471
VAV1	19	6772714	6857366
SRRM1	1	24631716	24673267
C21orf33	21	44133605	44145723
EIF3J	15	44537057	44563029
OR52A1	11	5151009	5186382
B3GAT1	11	134378504	134411918
ETFDH	4	158672125	158709623
TMEM139	7	143279957	143288048
CHRM3	1	239386565	239915452
MLLT1	19	6210379	6279948
FANK1	10	125896539	126009592
REST	4	56907876	56935844
INPP5F	10	119726097	119829278
PLA2G2E	1	19920009	19923617
TSPAN6	X	100627109	100639991
LAP3	4	17577192	17607972
LY6G5C	CHR_HSCHR6_MHC_QBL_CTG1	31666915	31674267
TADA2A	17	37406874	37479730
OXGR1	13	96985719	96994730
SOD2	6	159669057	159762529
RABAC1	19	41956681	41959390
MIOS	7	7566872	7608929
RBFA	18	80034358	80046397
KREMEN2	16	2963944	2968383
TDRD6	6	46687875	46704319
RPTOR	17	80544819	80966371
NGLY1	3	25718944	25790039
ZNF691	1	42846573	42852477
CMTM6	3	32481312	32503408
SYNJ1	21	32628759	32728048
COMMD6	13	75525219	75549439
GSTM3	1	109733932	109741038
COX6A2	16	31427731	31428428
GYLTL1B	11	45921621	45929096
FAM213A	10	80407829	80437115
STK33	11	8391868	8594289
SYTL5	X	38006582	38128819
SEMA6C	1	151131685	151146664
SPDYE4	17	8753106	8758559
CLEC2A	12	9898673	9932381
PHF21B	22	44881162	45009999
SOCS7	17	38352228	38405593
NLE1	17	35128753	35142315
GAD2	10	26216307	26304558
SLC22A14	3	38282294	38318575
OR51G1	11	4923301	4924407
NXPH2	2	138670772	138780348
S100A9	1	153357854	153361027
KRTAP5-1	CHR_HSCHR11_2_CTG1_1	1584352	1585293
C11orf40	11	4571423	4577820
TFCP2	12	51093663	51173134
C16orf87	16	46796607	46831411
KIR2DL3	CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	54724459	54767818
PLXNB1	3	48403854	48430051
ZC3H12A	1	37474552	37484379
KDM3A	2	86440647	86492716
DNASE1L2	16	2235816	2238711
PRKX	X	3604370	3713608
TEP1	14	20365667	20413429
LRIG3	12	58872149	58920522
UBE2A	X	119574467	119591083
SFTA3	14	36473288	36513829
IER3	CHR_HSCHR6_MHC_MANN_CTG1	30787857	30789212
FCAR	CHR_HSCHR19LRC_PGF1_CTG3_1	54804243	54821411
FUT8	14	65410592	65744121
HSPA12B	20	3732667	3753111
OR2L8	1	247948858	247949796
HNRNPA3	2	177212563	177223958
HAMP	19	35280716	35285143
PLEKHM2	1	15684332	15734769
RTP4	3	187368332	187372076
DOPEY1	6	83067666	83171350
RAB34	17	28714281	28718429
UQCRB	8	96225920	96235634
ZBTB9	CHR_HSCHR6_MHC_SSTO_CTG1	33594767	33597736
GAB1	4	143336762	143474568
SOX18	20	64047582	64049641
DDX58	9	32455705	32526324
IMPDH1	7	128392277	128410252
SLC39A7	6	33200445	33204439
AGA	4	177430770	177442503
H1FX	3	129314771	129316277
MED19	11	57703714	57712221
TMC4	19	54160108	54173250
S100A12	1	153373706	153375649
DCAF8	1	160215715	160262531
GAR1	4	109815510	109824740
CGB1	19	49035610	49036895
TMEM33	4	41935120	41960572
ZNF182	X	47974851	48003978
APOH	17	66212033	66256525
SLC25A15	13	40789412	40810111
UXS1	2	106093303	106194339
FOXA1	14	37589984	37596059
OR51A4	11	4946159	4947100
ECHDC1	6	127288710	127343609
MIS18A	21	32268219	32279069
BRMS1L	14	35826318	35932325
CYTH4	22	37282027	37315345
DHX16	CHR_HSCHR6_MHC_QBL_CTG1	30642608	30662557
KHDC1L	6	73223544	73225770
OSM	22	30262829	30266840
SELPLG	12	108622277	108633959
KRT36	17	41486136	41492546
PEG10	7	94656325	94669695
ELK1	X	47635521	47650604
SYCP2	20	59863563	59933655
ALKBH3	11	43880811	43920266
GYPA	4	144109303	144140751
OR2Z1	19	8730954	8732009
CRYZ	1	74705482	74733408
IFI6	1	27666061	27672218
FBXO24	7	100583982	100601117
TDO2	CHR_HSCHR4_1_CTG12	155854738	155920406
TMEM229B	14	67447084	67533739
KCND3	1	111770662	111989155
CREB5	7	28299321	28825894
PTPRF	1	43525187	43623666
ACOX3	4	8366282	8440723
SPACA1	6	88047789	88066832
TRANK1	3	36826820	36945057
MAP1LC3A	20	34546854	34560345
SCARF2	22	20424585	20437859
MFN2	1	11980181	12013514
ABCC9	12	21797401	21941402
TACR3	4	103586031	103719816
INTS7	1	211940399	212035542
CLCN3	4	169612633	169723673
PTPRCAP	11	67435510	67438067
ECT2	3	172750682	172821474
ATP2C1	3	130850595	131016712
PDGFB	22	39223359	39244751
RPL22	1	6181269	6209389
ADD2	2	70607618	70768225
EDNRB	13	77895481	77919768
NTAN1	16	15037853	15056079
PRICKLE1	12	42456754	42590355
VDAC3	8	42391624	42405897
PRSS58	7	142252143	142258058
OAS3	12	112938352	112973249
PTMS	12	6765516	6770952
ADH5	4	99070978	99088801
SST	3	187668906	187670399
CCKAR	4	26481400	26490462
LY6G6F	CHR_HSCHR6_MHC_MANN_CTG1	31746341	31750054
PRDM5	4	120684919	120922870
CYP2C19	10	94762624	94853260
C1orf87	1	59987269	60073770
SP7	12	53326575	53345315
MCCD1	CHR_HSCHR6_MHC_MCF_CTG1	31605067	31606582
TSFM	12	57782589	57808071
SIGLEC5	19	51611503	51645545
ORC2	2	200908973	200963680
KIAA1683	19	18257097	18274509
FBXO2	1	11648367	11655785
NELL2	12	44508275	44921848
PPP1R7	2	241149576	241183652
POU4F3	5	146339024	146340520
TAS2R1	5	9628997	9712378
KIAA1191	5	176346061	176361968
TAF5L	1	229593111	229626047
HNRNPCL1	1	12847377	12947578
BMP3	4	81030965	81057531
GPR37L1	1	202122858	202133592
CADPS	3	62398346	62875389
ZNF420	19	37007857	37130314
SEMA6B	19	4542593	4559808
PPP2R5B	11	64917553	64934473
LY6G6D	CHR_HSCHR6_MHC_MANN_CTG1	31754813	31757257
PTPRH	19	55181248	55209506
JARID2	6	15246296	15522040
DHX38	16	72093562	72112912
IREB2	15	78437431	78501456
ATP7B	13	51930436	52012125
ZDHHC14	6	157381133	157678146
VPS52	6	33250272	33272047
NME1-NME2	17	51153590	51171744
DUOXA2	15	45114321	45118421
MEIS2	15	36889204	37101299
PDXDC1	CHR_HSCHR16_1_CTG1	14950313	15122225
TMEM134	11	67461710	67469272
PATE2	11	125776113	125778819
CNDP1	18	74534440	74587212
TAS2R10	CHR_HSCHR12_2_CTG2	10825317	10826358
TYR	11	89177452	89295759
ARL8A	1	202133404	202144743
CMTM1	16	66566393	66579137
BRDT	1	91949371	92014426
CIDEA	18	12254319	12277595
SYN3	22	32512552	33058372
BCDIN3D	12	49836039	49843129
OR2B3	CHR_HSCHR6_MHC_DBB_CTG1	29086315	29087321
DMRT1	9	841690	969090
PNRC1	6	89080751	89085160
ZNF292	6	87152833	87264196
ZNF780B	19	40028260	40056209
ACTR5	20	38748442	38772520
AMY2A	1	103616811	103625780
DNAH12	3	57293699	57544344
GIF	11	59829268	59845501
CHGA	CHR_HSCHR14_7_CTG1	92923080	92935293
UBE2D2	5	139526431	139628433
ZBP1	20	57603846	57620576
PSMD10	X	108084207	108091618
FAM32A	19	16185380	16192046
ING3	7	120950749	120977216
OR10K1	1	158465562	158466503
SALL3	CHR_HSCHR18_ALT2_CTG2_1	78980275	79002677
UBASH3B	11	122655675	122814473
RAB6C	2	129979664	129982738
RLIM	X	74585217	74614617
FSD2	15	82755362	82806070
LRRC15	3	194355247	194369743
GP5	3	194394821	194398354
ARHGAP18	6	129576132	129710225
NCEH1	3	172630249	172711218
FAM73A	1	77779624	77879539
SLC6A16	19	49289638	49325225
IFT88	13	20567069	20691437
PTPN1	20	50510321	50585241
C6orf132	6	42101118	42142619
SNCAIP	5	122311354	122464219
B3GNT7	2	231395543	231401164
ANAPC15	11	72106378	72112780
DPY19L4	8	94719703	94793836
UGT3A2	5	36035017	36071358
PDPR	16	70113626	70162537
LPCAT2	16	55508998	55586670
ZNF660	3	44578223	44599694
THBS2	6	169215780	169254044
ZBTB12	6	31899607	31901992
CDKN2AIPNL	5	134402087	134411898
UIMC1	5	176905005	177022633
DMTF1	7	87152361	87196337
HLA-G	CHR_HSCHR6_MHC_DBB_CTG1	29824187	29828345
GTF2H5	6	158168352	158199344
KCNK6	19	38319844	38332076
ELMO2	20	46366049	46432985
WDR41	5	77425970	77620611
NR2C2	3	14947584	15053600
OOEP	6	73368555	73395133
HIPK1	1	113929192	113977869
NBEAL2	3	46979683	47009703
NBL1	1	19640554	19658456
C10orf25	10	44997698	45000888
OR2L13	1	247937191	248100922
PHYHIP	8	22219704	22232341
EHMT2	CHR_HSCHR6_MHC_MCF_CTG1	31956231	31974166
CCDC124	19	17933016	17943991
PRKAG3	2	218822383	218832086
OR51A7	11	4907370	4908308
ATAD2B	2	23748664	23927114
TM4SF4	3	149473974	149503281
HELLS	10	94501434	94613905
GRIA2	4	157204182	157366075
ATP2A3	17	3923870	3964464
DSTYK	1	205142505	205211566
TRIM15	CHR_HSCHR6_MHC_APD_CTG1	30155693	30165183
GFI1	1	92474762	92486876
MRPL47	3	179588285	179604654
GANC	15	42273233	42356935
NKAIN4	20	63240784	63272694
SBNO2	19	1107636	1174283
C22orf31	22	29058672	29061844
TMC4	CHR_HSCHR19LRC_COX1_CTG3_1	54160591	54173655
DDR1	CHR_HSCHR6_MHC_MANN_CTG1	30925624	30944801
FIP1L1	4	53377643	53460861
ACCS	11	44065925	44084222
HSD17B8	CHR_HSCHR6_MHC_QBL_CTG1	33133453	33135646
ANAPC16	10	72216000	72235860
KHDC1	6	73241314	73310365
HS3ST3B1	17	14301083	14349404
ZNF467	7	149764182	149773479
ALOXE3	17	8095900	8119047
RBFOX3	17	79089345	79516148
PLAUR	19	43646095	43670547
OR51G2	11	4914719	4915663
MCM4	8	47960185	47978160
TBX19	1	168281040	168314426
TCTE3	CHR_HSCHR6_1_CTG4	169740114	169751587
KCNV2	9	2717502	2730037
CBL	11	119206276	119308149
CACNG2	22	36563921	36703558
FLYWCH2	16	2883186	2899382
PRSS22	16	2852727	2858170
TFAP2A	6	10393186	10419659
MTMR11	1	149928651	149936898
FBXO34	14	55271303	55361918
DNAJB11	3	186567403	186597203
CPNE6	14	24070837	24078100
CHRNA9	4	40335329	40355217
SLC39A10	2	195575977	195737702
TOX	8	58805418	59119208
OR8S1	12	48507354	48529897
SCUBE3	6	35214419	35253079
IQCK	16	19716456	19858467
HLA-DMA	6	32948613	32969094
OR52R1	11	4803433	4804380
RNF39	CHR_HSCHR6_MHC_DBB_CTG1	30060589	30066210
UPP2	2	157876702	158136154
RUFY2	10	68341107	68407294
ZNF280D	15	56630181	56918571
MOG	CHR_HSCHR6_MHC_APD_CTG1	29657097	29672487
SDR16C5	8	56300010	56320776
BCAS4	20	50794894	50882676
GPC3	X	133535745	133985895
ZNF320	19	52863790	52897693
RNF39	CHR_HSCHR6_MHC_COX_CTG1	30060156	30065777
RGS11	16	268301	275980
AK1	9	127866480	127877743
NRM	CHR_HSCHR6_MHC_MCF_CTG1	30766531	30769904
ZNF532	18	58862600	58986480
WIPI1	17	68420948	68457513
GABBR1	CHR_HSCHR6_MHC_MANN_CTG1	29555178	29632716
CNBD1	8	86866442	87615219
SLC39A11	CHR_HSCHR17_9_CTG4	72837800	72849806
MB21D2	3	192796815	192918161
DMXL2	15	51447711	51622833
RWDD4	4	183639635	183659225
PLA2G4F	15	42139034	42156636
CCDC153	11	119189638	119196769
PLA2G2F	1	20139326	20150386
SENP8	15	72114258	72143688
CTBS	1	84549606	84574480
VPS4B	18	63389190	63422483
BZW1	2	200810594	200827338
SHC4	15	48823735	48963444
PLD3	19	40348456	40380439
PHF1	CHR_HSCHR6_MHC_SSTO_CTG1	33550562	33556643
EXOSC3	9	37766978	37801437
ADAMTS3	4	72280969	72568799
TASP1	20	13389392	13638940
NME8	7	37848597	37900401
UBD	6	29555515	29559925
EPT1	2	26308547	26395891
C1orf64	1	16004236	16008807
PLEKHM3	2	207828303	208025560
NPAS3	14	32934933	33804176
CA5A	16	87881546	87936529
C1QTNF3	5	34019448	34043832
ROBO4	11	124883691	124898500
FAM189A1	CHR_HSCHR15_4_CTG8	29260596	29720617
WAS	X	48676596	48691427
NDUFB10	16	1959508	1961975
BORA	13	72727749	72756198
FDCSP	4	70226071	70235252
NUBP2	16	1782901	1789191
MUC17	7	101020072	101058745
MYO1B	2	191245185	191425389
SPTSSB	3	161344792	161372880
LY75-CD302	2	159771851	159904710
TEFM	17	30897336	30906820
DHRS3	1	12567910	12617731
WDR75	2	189441433	189475565
RGSL1	1	182409192	182560599
TLE2	19	2997638	3047635
SH2B1	16	28846600	28874212
CBLB	3	105655461	105869552
PRTN3	19	840960	848175
FBLN2	3	13549131	13638422
ARV1	1	230978981	231000595
CYP4F12	19	15672757	15697174
NPHS2	1	179550539	179575952
FCRLA	1	161706972	161714352
FARSA	19	12922479	12934037
HEATR3	16	50065941	50106387
CYP4X1	1	47023568	47050751
RND3	2	150468195	150539011
TMEM117	12	43835967	44389762
ZNF230	19	44002948	44013926
DNM1L	12	32679200	32745650
OR10R2	1	158479878	158480885
C6orf47	CHR_HSCHR6_MHC_QBL_CTG1	31648523	31650997
XRCC6	22	41621119	41664048
LGI4	19	35124513	35142451
TMEM59	1	54026681	54053504
SLAMF1	1	160608100	160647295
MAGED2	X	54807599	54816012
UBA52	19	18571730	18577550
IER3	CHR_HSCHR6_MHC_SSTO_CTG1	30735460	30736815
OR2L2	1	248038268	248039206
KCNIP4	4	20728616	21948799
LY6G5B	CHR_HSCHR6_MHC_SSTO_CTG1	31659867	31664295
MYBPC1	12	101568353	101686018
GRAMD2	15	72159807	72197785
C6orf223	6	44000580	44005958
C19orf25	19	1461143	1479556
ARHGAP28	18	6729718	6915716
PRPF6	20	63981135	64033100
TFCP2L1	2	121216587	121285207
RXRB	CHR_HSCHR6_MHC_COX_CTG1	33115214	33122477
TMIE	3	46701333	46710886
KCNQ1	11	2444684	2849109
SIPA1L2	1	232397965	232561558
SAMSN1	21	14485228	14583402
TECTA	11	121101173	121191493
PORCN	X	48508962	48520814
PRSS23	11	86791059	86952910
OR2AK2	1	247965233	247966339
MRO	18	50795120	50825402
FOXJ1	17	76136333	76141299
B3GALT1	2	167868948	167874041
COPS4	4	83034447	83075818
FBXO47	17	38936432	38967402
TRAPPC5	19	7680843	7687703
DDR1	CHR_HSCHR6_MHC_COX_CTG1	30870863	30890046
APOBEC3H	22	39097224	39104067
ZNF496	1	247297412	247331846
ABHD12	20	25294743	25390983
GPR180	13	94601903	94634645
RAMP1	2	237858893	237912114
DYX1C1	15	55410525	55508234
MB21D1	6	73413515	73452276
SGOL1	3	20160593	20186292
SERPINA10	14	94280455	94293271
CYP2U1	4	107931369	107953457
EPS8L3	1	109750080	109764027
C11orf65	11	108308519	108467531
XPNPEP3	22	40857077	40932815
ANKFY1	17	4163907	4263977
QRSL1	6	106629578	106668417
TTC4	1	54715822	54742657
NDE1	16	15643267	15726353
NEO1	15	73051710	73305206
CEP250	20	35455164	35519280
USP6NL	10	11453946	11611754
APOBEC3A	CHR_HSCHR22_1_CTG2	38952742	38962839
ZC3H4	19	47064187	47113752
HLA-F	CHR_HSCHR6_MHC_MANN_CTG1	29719844	29735599
ZSCAN23	6	28431930	28443502
RIBC1	X	53422690	53431120
ZMYND19	9	137582079	137590490
IDH3B	20	2658395	2664219
ZNF843	16	31432593	31443160
RBM28	7	128297685	128343908
OR4K14	14	20014260	20015193
PDE4DIP	1	148808181	149048286
CCNT1	12	48688458	48716998
WDSUB1	2	159235793	159286799
ZFY	Y	2935281	2982506
RPL39L	3	187120948	187180908
HPS6	10	102065390	102068038
PPP1R27	17	81833492	81835050
SMURF1	7	99027438	99144100
TXNL4A	18	79970811	80033949
DNTT	10	96304396	96338564
SRGAP1	12	63844293	64162221
YIPF1	1	53851719	53889834
APIP	11	34853094	34916499
WT1	11	32387775	32435630
UFD1L	22	19449910	19479215
GSDMD	8	143553207	143563062
ZKSCAN3	6	28349914	28369177
NPS	10	127549369	127552639
THEM6	8	142727203	142736927
PTK2B	8	27311482	27459391
HCN2	19	589893	617159
OR2M2	1	248179986	248181029
TOR2A	9	127731524	127735317
DEFB131	4	9444534	9450514
EFTUD1	15	82130230	82262763
RNF40	16	30761745	30776307
ATG10	5	81972025	82276857
AXDND1	1	179365720	179554735
ANKRD36	2	97113496	97264521
OR2M3	1	248203068	248204006
DEFB4B	8	7414860	7416863
CDRT15L2	17	20579724	20580911
ZNF526	19	42220271	42228201
KRTAP5-5	CHR_HSCHR11_2_CTG1_1	1629984	1630868
ATPIF1	1	28236109	28246906
CLEC3B	3	45001548	45036071
IPP	1	45694324	45750650
CCL23	CHR_HSCHR17_7_CTG4	36013092	36018001
EBF3	10	129835283	129963841
CLCN7	16	1444934	1475580
DRD1	5	175440039	175444208
FAM129A	1	184790724	184974550
GAS7	17	9910609	10198551
TET3	2	73986404	74108176
TMEM164	X	110002631	110182734
HRG	3	186660216	186678240
C8orf37	8	95244919	95269201
GRM1	6	146027646	146437598
USP14	18	158383	214629
REG4	1	119794018	119811660
ZNRD1	CHR_HSCHR6_MHC_QBL_CTG1	30048487	30054477
XAF1	17	6755447	6775647
ATP2B3	X	153517676	153582939
ZNF300	5	150894392	150904983
ACTBL2	5	57480016	57482809
KIR2DL1	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54769814	54784135
TSC22D1	13	44432143	44577147
GAPVD1	9	125261794	125367207
GALNT3	2	165747591	165794682
HS3ST2	16	22814177	22916338
FBLN1	22	45502238	45601135
TLL2	10	96364606	96513918
GPI	CHR_HSCHR19_2_CTG3_1	34359480	34381539
MRPL33	2	27771717	27988087
METTL24	6	110245928	110358272
SCRG1	4	173384701	173406380
LSM14A	19	34172504	34229515
PRSS1	7	142749468	142763997
CBY1	22	38656636	38673854
ZNF746	7	149472794	149497817
IFNAR2	21	33229901	33265675
KIAA0895	7	36324221	36390125
IFITM10	CHR_HSCHR11_2_CTG1_1	1729629	1732648
FMNL1	17	45221444	45247320
AP2A2	CHR_HSCHR11_3_CTG1	940735	1019087
MED26	19	16574907	16629062
NDE1	CHR_HSCHR16_1_CTG1	15728421	15811507
OR4X2	11	48245056	48246080
PXT1	6	36390551	36442889
TIE1	1	43300993	43323108
GART	21	33503931	33543491
CSNK2A1	20	473591	543821
SLC2A9	4	9771153	10054936
TMEM27	X	15627318	15665031
CLUL1	18	596988	650334
CAP2	6	17393216	17557792
C9	5	39284262	39424868
MKS1	17	58205437	58219605
TMEM198	2	219543663	219550595
RGS13	1	192636138	192660306
HCN1	5	45254950	45696498
RFX8	2	101397361	101474703
CYP2C18	10	94683621	94736190
OR4X1	11	48263861	48264778
LRRC47	1	3778558	3796504
UNC5A	5	176810477	176880895
OR2M4	1	248238929	248239864
LHX5	12	113462034	113472280
RPP21	CHR_HSCHR6_MHC_MANN_CTG1	30389770	30391525
CSNK2B	CHR_HSCHR6_MHC_MANN_CTG1	31704690	31709797
HBP1	7	107168961	107202529
ARMCX1	X	101550531	101554700
PEX11G	19	7476875	7497449
S100A1	1	153627926	153632039
SLC7A4	22	21028718	21032840
EHD4	15	41895939	41972578
C12orf45	12	104986310	105049737
APLNR	11	57233577	57237314
SERPINE2	2	223975112	224039319
PRAME	CHR_HSCHR22_1_CTG3	22556806	22568466
SEC11A	15	84669538	84716716
CDK5R2	2	218959655	218962162
SMO	7	129188872	129213545
TUBA1C	12	49188736	49274603
LACE1	6	108294894	108526796
DDX39B	CHR_HSCHR6_MHC_MCF_CTG1	31606569	31622924
MED27	9	131860107	132079908
C7orf49	7	135092363	135170795
SARNP	12	55752463	55817756
FGD6	12	95076749	95217482
